layer,file,line,action_id,has_try_catch,has_report,report_kind,severity,category,gap_type,fix_recommendation
A,main.js,99,safe:set,yes,no,none,,ipc.safe.set,swallowed_catch,Add reportMainProcessError or __txReportError on catch
A,main.js,112,safe:get,yes,no,none,,ipc.safe.get,swallowed_catch,Add reportMainProcessError or __txReportError on catch
A,main.js,127,env:get,no,no,none,,ipc.env.get,ok,Simple passthrough no error path
A,main.js,132,app:version,no,no,none,,ipc.app.version,ok,Simple passthrough no error path
A,main.js,134,app:resetLocalDatabase,yes,no,none,,ipc.app.resetLocalDatabase,swallowed_catch,Add reportMainProcessError on catch
A,main.js,164,whatsapp:send,yes,no,none,,ipc.whatsapp.send,ipc_no_renderer_report,Verify renderer handles rejection with __txReportError
A,main.js,201,whatsapp:sendDocument,yes,no,none,,ipc.whatsapp.send,ipc_no_renderer_report,Verify renderer handles rejection with __txReportError
A,main.js,242,ecf:queue-count,no,no,none,,ipc.ecf.queue-count,ok,Simple query no error path
A,main.js,291,dgii:submit,yes,no,none,,ipc.dgii.submit,swallowed_catch,Add reportMainProcessError(err 'critical' dgii.submit) on catch
A,main.js,494,dgii:void-sequence,yes,no,none,,ipc.dgii.void,swallowed_catch,Add reportMainProcessError(err 'critical' dgii.void)
A,main.js,554,dgii:install-cert,yes,no,none,,ipc.dgii.cert.install,swallowed_catch,Add reportMainProcessError on catch
A,main.js,581,dgii:cert-info,yes,no,none,,ipc.dgii.cert.info,swallowed_catch,Add reportMainProcessError on catch
A,main.js,692,cert:expiry-check,yes,no,none,,ipc.cert.expiry,swallowed_catch,Add reportMainProcessError on catch
A,main.js,719,dgii:cert-pem,yes,yes,activityLog_only,critical,ipc.dgii.cert.pem,partial_no_client_errors,Ensure renderer caller reports via __txReportError on load failure
A,main.js,777,dgii:restore-from-pem,yes,yes,activityLog_only,critical,ipc.dgii.cert.restore,partial_no_client_errors,Ensure renderer caller reports via __txReportError on failure
A,main.js,839,dgii:auth-test,yes,no,none,,ipc.dgii.auth,swallowed_catch,Add reportMainProcessError on catch
A,main.js,856,dgii:queue-anecf-void,yes,no,none,,ipc.dgii.anecf.void,swallowed_catch,Add reportMainProcessError on catch
A,main.js,872,dgii:check-status,yes,no,none,,ipc.dgii.status,swallowed_catch,Add reportMainProcessError on catch
