layer,file,line,action_id,has_try_catch,has_report,report_kind,severity,category,gap_type,fix_recommendation
B,packages/data/web.js,770,web.admin.saveEmpresa,1,0,none,error,admin_settings,ok,tryWrite + caller guards
B,packages/data/web.js,792,web.admin.saveUsuario,0,0,none,error,admin_users,tryor_on_write,Wrap with tryWrite
B,packages/data/web.js,815,web.admin.deleteUsuario,0,0,none,error,admin_users,tryor_on_write,Wrap with tryWrite
B,packages/data/web.js,824,web.admin.saveLavador,0,0,none,error,admin_users,tryor_on_write,Wrap with tryWrite
B,packages/data/web.js,842,web.admin.deleteLavador,0,0,none,error,admin_users,tryor_on_write,Wrap with tryWrite
B,packages/data/web.js,851,web.admin.saveVendedor,0,0,none,error,admin_users,tryor_on_write,Wrap with tryWrite
B,packages/data/web.js,867,web.admin.deleteVendedor,0,0,none,error,admin_users,tryor_on_write,Wrap with tryWrite
B,packages/data/web.js,875,web.admin.saveServicio,0,0,none,error,admin_settings,tryor_on_write,Wrap with tryWrite
B,packages/data/web.js,889,web.admin.deleteServicio,0,0,none,error,admin_settings,tryor_on_write,Wrap with tryWrite
B,packages/data/web.js,901,web.admin.saveSecuenciaNcf,0,0,none,error,admin_settings,tryor_on_write,Wrap with tryWrite
B,packages/data/web.js,914,web.admin.saveConfiguracion,0,0,none,error,admin_settings,tryor_on_write,Wrap with tryWrite
B,packages/data/web.js,952,web.settings.update,0,0,none,error,app_settings,tryor_on_write,Wrap with tryWrite
B,packages/data/web.js,1007,web.inventory.create,0,0,none,error,inventory,tryor_on_write,Wrap with tryWrite
B,packages/data/web.js,1012,web.inventory.update,0,0,none,error,inventory,tryor_on_write,Wrap with tryWrite
B,packages/data/web.js,1029,web.inventory.bulkUpdate,0,0,none,error,inventory,tryor_on_write,Wrap with tryWrite
B,packages/data/web.js,1044,web.inventory.delete,0,0,none,error,inventory,tryor_on_write,Wrap with tryWrite
B,packages/data/web.js,1049,web.inventory.adjust,1,0,none,error,inventory,ok,tryWrite + verify caller
B,packages/data/web.js,1179,web.inventory.oversells.resolve,1,0,none,error,inventory,ok,tryWrite + verify caller
B,packages/data/web.js,1200,web.inventoryCount.start,0,0,none,error,inventory,tryor_on_write,Wrap with tryWrite
B,packages/data/web.js,1282,web.inventoryCount.saveItem,0,0,none,error,inventory,tryor_on_write,Wrap with tryWrite
B,packages/data/web.js,1296,web.inventoryCount.complete,0,0,none,error,inventory,tryor_on_write,Wrap with tryWrite
B,packages/data/web.js,1392,web.inventoryCount.cancel,0,0,none,error,inventory,tryor_on_write,Wrap with tryWrite
B,packages/data/web.js,1402,web.inventoryCount.delete,0,0,none,error,inventory,tryor_on_write,Wrap with tryWrite
B,packages/data/web.js,1536,web.users.create,0,0,none,error,users,tryor_on_write,Wrap with tryWrite
B,packages/data/web.js,1557,web.users.update,0,0,none,error,users,tryor_on_write,Wrap with tryWrite
B,packages/data/web.js,1614,web.users.delete,0,0,none,error,users,tryor_on_write,Wrap with tryWrite
B,packages/data/web.js,1625,web.users.deleteHard,0,0,none,error,users,tryor_on_write,Wrap with tryWrite
B,packages/data/web.js,1641,web.users.generateAuthCard,0,0,none,error,users,tryor_on_write,Wrap with tryWrite
B,packages/data/web.js,1667,web.users.revokeAuthCard,0,0,none,error,users,tryor_on_write,Wrap with tryWrite
B,packages/data/web.js,1729,web.categorias.create,0,0,none,error,admin_settings,tryor_on_write,Wrap with tryWrite
B,packages/data/web.js,1737,web.categorias.update,0,0,none,error,admin_settings,tryor_on_write,Wrap with tryWrite
B,packages/data/web.js,1744,web.categorias.delete,0,0,none,error,admin_settings,tryor_on_write,Wrap with tryWrite
B,packages/data/web.js,1788,web.services.create,0,0,none,error,admin_settings,tryor_on_write,Wrap with tryWrite
B,packages/data/web.js,1813,web.services.update,0,0,none,error,admin_settings,tryor_on_write,Wrap with tryWrite
B,packages/data/web.js,1841,web.services.setInStock,1,0,none,error,admin_settings,ok,tryWrite + verify caller
B,packages/data/web.js,1866,web.services.delete,1,0,none,error,admin_settings,ok,tryWrite + verify caller
B,packages/data/web.js,1901,web.washers.create,0,0,none,error,admin_employees,tryor_on_write,Wrap with tryWrite
B,packages/data/web.js,1913,web.washers.update,0,0,none,error,admin_employees,tryor_on_write,Wrap with tryWrite
B,packages/data/web.js,1941,web.sellers.create,0,0,none,error,admin_employees,tryor_on_write,Wrap with tryWrite
B,packages/data/web.js,1952,web.sellers.update,0,0,none,error,admin_employees,tryor_on_write,Wrap with tryWrite
B,packages/data/web.js,1976,web.empleados.create,0,0,none,error,admin_employees,tryor_on_write,Wrap with tryWrite
B,packages/data/web.js,2011,web.empleados.update,0,0,none,error,admin_employees,tryor_on_write,Wrap with tryWrite
B,packages/data/web.js,2039,web.empleados.delete,0,0,none,error,admin_employees,tryor_on_write,Wrap with tryWrite
B,packages/data/web.js,2047,web.empleados.hardDelete,0,0,none,error,admin_employees,tryor_on_write,Wrap with tryWrite
B,packages/data/web.js,2067,web.payrollRuns.create,0,0,none,error,payroll,tryor_on_write,Wrap with tryWrite
B,packages/data/web.js,2077,web.payrollRuns.bulkCreate,0,0,none,error,payroll,tryor_on_write,Wrap with tryWrite
B,packages/data/web.js,2118,web.payrollRuns.remove,0,0,none,error,payroll,tryor_on_write,Wrap with tryWrite
B,packages/data/web.js,2131,web.payrollSettings.update,0,0,none,error,payroll,tryor_on_write,Wrap with tryWrite
B,packages/data/web.js,2152,web.adelantos.create,0,0,none,error,payroll,tryor_on_write,Wrap with tryWrite
B,packages/data/web.js,2197,web.adelantos.deduct,0,0,none,error,payroll,tryor_on_write,Wrap with tryWrite
B,packages/data/web.js,2204,web.adelantos.cancel,0,0,none,error,payroll,tryor_on_write,Wrap with tryWrite
B,packages/data/web.js,2254,web.salaryChanges.create,0,0,none,error,payroll,tryor_on_write,Wrap with tryWrite
B,packages/data/web.js,2291,web.salaryChanges.remove,1,0,none,error,payroll,ok,tryWrite + verify caller
B,packages/data/web.js,2320,web.clients.create,0,0,none,error,clients,tryor_on_write,Wrap with tryWrite
B,packages/data/web.js,2339,web.clients.update,0,0,none,error,clients,tryor_on_write,Wrap with tryWrite
B,packages/data/web.js,2348,web.clients.addLoyaltyPoints,0,0,none,error,clients,tryor_on_write,Wrap with tryWrite
B,packages/data/web.js,2355,web.clients.updateBalance,0,0,none,error,clients,tryor_on_write,Wrap with tryWrite
B,packages/data/web.js,2367,web.clients.loyaltyAward,1,0,none,warn,clients,partial_no_client_errors,RPC error swallowed
B,packages/data/web.js,2381,web.clients.loyaltyRedeem,1,0,none,warn,clients,partial_no_client_errors,RPC error swallowed
B,packages/data/web.js,2397,web.clients.loyaltyAdjust,1,0,none,warn,clients,partial_no_client_errors,RPC error swallowed
B,packages/data/web.js,2440,web.credits.collect,0,0,none,error,credits,tryor_on_write,Wrap with tryWrite
B,packages/data/web.js,2570,web.tickets.byId,0,0,none,error,tickets,tryor_on_write,Has writes - use tryWrite
B,packages/data/web.js,3081,web.tickets.markPaid,0,0,none,error,tickets,tryor_on_write,Wrap with tryWrite
B,packages/data/web.js,3107,web.tickets.void,0,0,none,error,tickets,tryor_on_write,Wrap with tryWrite
B,packages/data/web.js,3292,web.tickets.transferToMesa,0,0,none,error,tickets,tryor_on_write,Wrap with tryWrite
B,packages/data/web.js,3371,web.tickets.merge,0,0,none,error,tickets,tryor_on_write,Wrap with tryWrite
B,packages/data/web.js,3453,web.tickets.openForFulfillment,0,0,none,error,tickets,tryor_on_write,Wrap with tryWrite
B,packages/data/web.js,3519,web.tickets.addItem,0,0,none,error,tickets,tryor_on_write,Wrap with tryWrite
B,packages/data/web.js,3559,web.tickets.updateItemPrice,0,0,none,error,tickets,tryor_on_write,Wrap with tryWrite
B,packages/data/web.js,3618,web.tickets.updateItemQty,0,0,none,error,tickets,tryor_on_write,Wrap with tryWrite
B,packages/data/web.js,3640,web.tickets.removeItem,0,0,none,error,tickets,tryor_on_write,Wrap with tryWrite
B,packages/data/web.js,3984,web.queue.updateStatus,0,0,none,error,queue,tryor_on_write,Wrap with tryWrite
B,packages/data/web.js,4011,web.queue.delete,0,0,none,error,queue,tryor_on_write,Wrap with tryWrite
B,packages/data/web.js,4181,web.commissions.markPaid,0,0,none,error,commissions,tryor_on_write,Wrap with tryWrite
B,packages/data/web.js,4190,web.commissions.markPaidByPeriod,0,0,none,error,commissions,tryor_on_write,Wrap with tryWrite
B,packages/data/web.js,4205,web.commissions.create,0,0,none,error,commissions,tryor_on_write,Wrap with tryWrite
B,packages/data/web.js,4292,web.sellerCommissions.markPaid,0,0,none,error,commissions,tryor_on_write,Wrap with tryWrite
B,packages/data/web.js,4298,web.sellerCommissions.markPaidByPeriod,0,0,none,error,commissions,tryor_on_write,Wrap with tryWrite
B,packages/data/web.js,4310,web.sellerCommissions.create,0,0,none,error,commissions,tryor_on_write,Wrap with tryWrite
B,packages/data/web.js,4403,web.cajeroCommissions.markPaid,0,0,none,error,commissions,tryor_on_write,Wrap with tryWrite
B,packages/data/web.js,4409,web.cajeroCommissions.markPaidByPeriod,0,0,none,error,commissions,tryor_on_write,Wrap with tryWrite
B,packages/data/web.js,4421,web.cajeroCommissions.create,0,0,none,error,commissions,tryor_on_write,Wrap with tryWrite
B,packages/data/web.js,4454,web.cuadre.create,0,0,none,error,cuadre,tryor_on_write,Wrap with tryWrite
B,packages/data/web.js,4613,web.cuadre.openShift,1,0,none,error,cuadre,ok,tryWrite + verify caller
B,packages/data/web.js,4665,web.ncf.next,1,0,none,error,ncf,ok,tryWrite + verify caller
B,packages/data/web.js,4759,web.cajaChica.create,0,0,none,error,cajaChica,tryor_on_write,Wrap with tryWrite
B,packages/data/web.js,4769,web.cajaChica.updateStatus,0,0,none,error,cajaChica,tryor_on_write,Wrap with tryWrite
B,packages/data/web.js,4809,web.notas.create,1,0,none,error,notas,ok,tryWrite + verify caller
B,packages/data/web.js,4875,web.dgii.addCompra,0,0,none,error,dgii,tryor_on_write,Wrap with tryWrite
B,packages/data/web.js,4898,web.dgii.deleteCompra,0,0,none,error,dgii,tryor_on_write,Wrap with tryWrite
B,packages/data/web.js,5120,web.app.goLiveCommit,1,0,none,error,app,ok,tryWrite + verify caller
B,packages/data/web.js,5307,web.app.submit,1,0,none,error,fiscal,ok,tryWrite + verify caller
B,packages/data/web.js,5509,web.app.setEnvironment,1,0,none,error,fiscal,ok,tryWrite + verify caller
B,packages/data/web.js,5537,web.app.setFiscalMode,1,0,none,error,fiscal,ok,tryWrite + verify caller
B,packages/data/web.js,5577,web.restaurant.mesas.create,0,0,none,error,restaurant,tryor_on_write,Wrap with tryWrite
B,packages/data/web.js,5590,web.restaurant.mesas.update,0,0,none,error,restaurant,tryor_on_write,Wrap with tryWrite
B,packages/data/web.js,5602,web.restaurant.mesas.setStatus,0,0,none,error,restaurant,tryor_on_write,Wrap with tryWrite
B,packages/data/web.js,5625,web.restaurant.mesas.delete,0,0,none,error,restaurant,tryor_on_write,Wrap with tryWrite
B,packages/data/web.js,5665,web.restaurant.reservations.create,0,0,none,error,restaurant,tryor_on_write,Wrap with tryWrite
B,packages/data/web.js,5694,web.restaurant.reservations.update,0,0,none,error,restaurant,tryor_on_write,Wrap with tryWrite
B,packages/data/web.js,5705,web.restaurant.reservations.confirm,0,0,none,error,restaurant,tryor_on_write,Wrap with tryWrite
B,packages/data/web.js,5718,web.restaurant.reservations.cancel,0,0,none,error,restaurant,tryor_on_write,Wrap with tryWrite
B,packages/data/web.js,5734,web.restaurant.reservations.markNoShow,0,0,none,error,restaurant,tryor_on_write,Wrap with tryWrite
B,packages/data/web.js,5749,web.restaurant.reservations.seat,0,0,none,error,restaurant,tryor_on_write,Wrap with tryWrite
B,packages/data/web.js,5781,web.restaurant.reservations.stampWhatsapp,0,0,none,error,restaurant,tryor_on_write,Wrap with tryWrite
B,packages/data/web.js,5807,web.restaurant.modificadores.create,0,0,none,error,restaurant,tryor_on_write,Wrap with tryWrite
B,packages/data/web.js,5822,web.restaurant.modificadores.update,0,0,none,error,restaurant,tryor_on_write,Wrap with tryWrite
B,packages/data/web.js,5836,web.restaurant.modificadores.delete,0,0,none,error,restaurant,tryor_on_write,Wrap with tryWrite
B,packages/data/web.js,5857,web.restaurant.service_mods.attachToService,0,0,none,error,restaurant,tryor_on_write,Wrap with tryWrite
B,packages/data/web.js,5867,web.restaurant.service_mods.detachFromService,0,0,none,error,restaurant,tryor_on_write,Wrap with tryWrite
B,packages/data/web.js,5915,web.restaurant.recipes.add,0,0,none,error,restaurant,tryor_on_write,Wrap with tryWrite
B,packages/data/web.js,5930,web.restaurant.recipes.update,0,0,none,error,restaurant,tryor_on_write,Wrap with tryWrite
# summary,total=80,unwired_tryOr=65,wired_tryWrite=8,partial_rpc=3,need_caller_review=4
