layer,file,line,action_id,has_try_catch,has_report,report_kind,severity,category,gap_type,fix_recommendation
D1,packages/ui/screens/POS.jsx,745,handleRncLookup,no,no,none,partial,pos.rnc.lookup,no_try_catch,Wrap api.rnc.lookup in try/catch + __txReportError on failure
D1,packages/ui/screens/POS.jsx,751,handleEncolar,yes,no,flash,high,pos.queue.enqueue,toast_only,Add __txReportError before flash so admin sees enqueue failures
D1,packages/ui/screens/POS.jsx,834,handlePaymentConfirm_carwash,yes,no,flash,critical,pos.payment.confirm.carwash,toast_only,Add __txReportError(err category pos_payment_carwash severity error)
D1,packages/ui/screens/POS.jsx,938,membership_consume,yes,no,flash+console_error,high,pos.membership.consume,toast_only,Add __txReportError on consume failure (silent debit drift)
D1,packages/ui/screens/POS.jsx,980,membership_purchase,yes,no,flash+console_error,high,pos.membership.purchase,toast_only,Add __txReportError on purchase failure (saldo not created)
D1,packages/ui/screens/POS.jsx,1074,print_factura_auto,yes,no,flash,partial,pos.print.factura,toast_only,Already non-blocking but add __txReportError(severity warn) for chronic printer failures
D1,packages/ui/screens/POS.jsx,1134,print_washer_conduce,yes,no,flash,partial,pos.print.conduce,toast_only,Add __txReportError severity warn
D1,packages/ui/screens/POS.jsx,1138,save_receipt_pdf,yes,no,flash,partial,pos.pdf.save,toast_only,Add __txReportError severity warn
D1,packages/ui/screens/POS.jsx,1147,post_sale_side_effects,yes,no,swallowed,partial,pos.post_sale_print,swallowed_catch,Replace bare swallow with __txReportError severity warn
D1,packages/ui/screens/POS.jsx,1213,reorder_save_writes,yes,no,console_error,high,pos.reorder.save,console_only,Add __txReportError on bulk save failures (display order drift)
D1,packages/ui/screens/POS.jsx,1231,reorder_save_outer,yes,no,flash+console_error,high,pos.reorder.save,console_only,Add __txReportError severity warn
D1,packages/ui/screens/POS.jsx,2262,handleBarcodeScan,no,no,none,high,pos.barcode.scan,no_try_catch,Wrap scan resolve+update in try/catch + __txReportError
D1,packages/ui/screens/POS.jsx,2687,handlePaymentConfirm_retail,yes,no,flash+console_error,critical,pos.payment.confirm.retail,toast_only,Add __txReportError(category pos_payment_retail severity error) — re-throw stays
D1,packages/ui/screens/POS.jsx,2802,post_sale_side_effects_retail,yes,no,console_error,partial,pos.post_sale_print.retail,console_only,Add __txReportError severity warn
D1,packages/ui/screens/POS.jsx,3652,saveEdit_grid,no,no,none,high,pos.grid.save_edit,no_try_catch,Wrap saveEdit in try/catch + __txReportError
D1,packages/ui/screens/POS.jsx,4032,handleOpen_apertura,yes,no,console_error,high,pos.cash.apertura,console_only,Add __txReportError(category pos_apertura severity error)
D1,packages/ui/screens/Queue.jsx,489,deleteFromQueue,yes,no,flash,high,queue.delete,toast_only,Add __txReportError(category queue_delete severity warn)
D1,packages/ui/screens/Queue.jsx,511,cycleStatus,yes,no,flash,high,queue.cycle_status,toast_only,Add __txReportError on revert (lost status churn)
