layer,file,line,action_id,has_try_catch,has_report,report_kind,severity,category,gap_type,fix_recommendation
D2,Admin.jsx,225,Admin.Usuarios.handleDelete,yes,yes,error_state,ok,data_deletion,ok,setError state reports errors
D2,Admin.jsx,237,Admin.Usuarios.handleRowDelete,yes,yes,toast_error,ok,data_deletion,ok,Toast via show() helper
D2,Admin.jsx,306,Admin.Usuarios.handleSave,yes,yes,error_state,ok,data_save,ok,setError state with toast on success
D2,Admin.jsx,357,Admin.Usuarios.toggleActive,yes,yes,toast_error,ok,status_change,ok,Toast feedback on completion
D2,Admin.jsx,359,Admin.revokeCard,yes,yes,toast_error,ok,data_write,ok,Toast on card revoke action
D2,Admin.jsx,634,Admin.moveCat,yes,yes,toast_error,ok,reorder,ok,Toast on category reorder
D2,Admin.jsx,658,Admin.renameCat,yes,yes,toast_error,ok,data_update,ok,Toast on rename category
D2,Admin.jsx,681,Admin.deleteCat,yes,yes,toast_error,ok,data_deletion,ok,Toast on category delete
D2,Admin.jsx,706,Admin.openCreateCatPrompt,yes,yes,toast_error,ok,data_creation,ok,Toast on category creation
D2,Admin.jsx,728,Admin.Services.handleSave,yes,yes,error_state,ok,data_save,ok,setError and toast feedback
D2,Admin.jsx,747,Admin.Services.toggleActive,yes,yes,toast_error,ok,status_change,ok,Toast on service activation
D2,Admin.jsx,758,Admin.Services.handleDelete,yes,yes,error_state,ok,data_deletion,ok,setError state on delete
D2,Admin.jsx,777,Admin.Services.quickDeleteService,yes,yes,toast_error,ok,data_deletion,ok,Toast on quick service delete
D2,Admin.jsx,1179,Admin.DGII.saveFiscalMode,yes,yes,toast_error,ok,config_update,ok,Toast on fiscal mode change
D2,Admin.jsx,1200,Admin.DGII.handleToggle,yes,yes,toast_error,ok,status_change,ok,Toast on DGII toggle
D2,Admin.jsx,1213,Admin.DGII.handleSaveSeq,yes,yes,toast_error,ok,data_update,ok,Toast on NCF sequence save
D2,Admin.jsx,1246,Admin.DGII.handleInstallCert,yes,yes,toast_error,ok,cert_upload,ok,Toast on certificate install
D2,Admin.jsx,1558,Admin.MiEmpresa.save,yes,yes,toast_error,ok,company_settings,ok,Toast on company info save
D2,DGII.jsx,635,DGII.Compras.handleSave,yes,yes,error_state,ok,data_save,ok,setError on compra save
D2,DGII.jsx,657,DGII.Compras.handleDelete,yes,yes,error_state,ok,data_deletion,ok,setError on compra delete
D2,DGII.jsx,1379,DGII.CertUpload.handleUpload,yes,yes,error_state,ok,cert_upload,ok,setError on certificate upload
D2,DGII.jsx,1408,DGII.CertUpload.flipEnv,yes,yes,error_state,ok,config_update,ok,setError on environment flip
